Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1751460573.5404649,74,137,146,154,391,37,29,30
1751460573.563401,84,155,146,159,430,35,28,31
1751460573.600301,79,142,115,122,306,33,27,28
1751460573.6234972,70,137,112,161,350,41,26,27
1751460573.660425,63,100,98,162,296,44,26,25
1751460573.683336,63,115,100,164,337,49,29,26
1751460573.7212634,63,110,94,153,443,44,31,25
1751460573.7432039,50,110,98,151,436,44,32,26
1751460573.788084,63,82,84,150,487,39,30,29
1751460573.8180077,65,66,67,156,462,48,27,28
1751460573.8409157,64,90,64,175,520,51,26,28
1751460573.8628836,54,97,65,174,490,52,26,28
1751460573.9157422,63,95,74,170,475,52,27,22
1751460573.937656,71,101,108,159,404,50,30,24
1751460573.9606025,71,100,103,161,434,50,29,22
1751460573.9835608,60,100,101,164,435,54,31,23
1751460574.0055027,60,97,95,150,393,52,29,24
1751460574.0354238,67,97,78,115,367,49,27,23
1751460574.0742955,70,82,82,100,396,42,25,73
1751460574.1184268,68,81,84,93,522,39,23,79
1751460574.1563263,65,53,62,96,567,38,23,81
1751460574.1932263,80,53,79,89,454,37,24,32
1751460574.2311254,86,49,75,117,470,53,26,29
1751460574.276037,66,39,45,114,436,57,27,25
1751460574.312934,80,40,39,96,397,53,23,23
1751460574.350833,68,41,37,92,433,45,20,21
1751460574.389702,59,55,40,90,414,47,20,22
1751460574.4335842,59,60,44,96,494,46,23,27
1751460574.4714835,68,54,39,96,510,46,24,27
1751460574.508412,72,29,34,99,541,40,22,24
1751460574.5454223,61,27,39,95,485,44,23,21
1751460574.5834215,54,37,42,106,480,44,23,23
1751460574.605987,55,43,48,94,436,35,23,25
1751460574.6279273,55,44,46,98,476,37,22,27
1751460574.6518908,55,45,45,99,456,35,24,28
1751460574.6958036,54,43,55,117,471,50,24,28
1751460574.7416816,57,38,60,137,448,70,26,40
1751460574.7706313,69,36,61,130,437,69,26,41
1751460574.8154833,67,41,59,104,394,50,26,27
1751460574.8539138,68,39,59,118,347,45,24,22
1751460574.8828356,79,36,53,133,326,50,25,24
1751460574.9067502,75,34,49,121,262,47,24,22
1751460574.9286916,77,35,46,135,342,47,25,23
1751460574.9655926,65,35,49,123,348,44,23,20
1751460574.988531,59,32,43,130,378,40,22,20
1751460575.0254521,60,37,52,129,330,38,21,19
1751460575.0483932,71,39,51,115,312,39,22,21
1751460575.0852904,90,45,57,121,361,42,23,22
1751460575.1162007,90,41,48,129,379,42,24,22
1751460575.1460996,101,40,49,122,393,41,26,21
1751460575.1680691,90,39,52,117,330,42,27,21
1751460575.2059405,82,30,47,100,341,40,27,20
1751460575.23586,83,36,47,96,372,41,24,20
1751460575.27376,70,39,58,107,350,39,25,22
1751460575.3106875,74,43,55,118,423,46,22,21
1751460575.3485582,70,42,63,136,407,49,27,20
1751460575.393438,69,44,60,123,348,47,28,19
1751460575.4223819,56,45,52,101,340,43,28,20
1751460575.4453275,64,44,50,103,361,39,27,20
1751460575.4692624,67,46,49,102,305,34,22,21
1751460575.5131183,73,45,57,104,333,35,21,21
1751460575.5420685,68,51,61,112,319,37,25,23
1751460575.5660043,67,70,66,109,328,39,25,22
1751460575.588946,64,110,87,117,352,38,24,22
1751460575.6328259,79,120,96,128,477,43,20,22
1751460575.6557367,74,118,90,112,460,43,20,21
1751460575.6856844,72,78,71,105,445,43,20,19
1751460575.7086232,62,87,101,95,366,43,21,21
1751460575.7455244,67,97,127,106,385,39,21,21
1751460575.7674663,68,91,126,112,423,51,26,23
1751460575.7903788,67,87,124,104,382,50,27,23
1751460575.8283591,60,76,80,111,489,54,30,20
1751460575.8512735,66,78,75,100,466,57,32,23
1751460575.8961542,66,94,86,111,535,47,30,24
1751460575.926074,56,77,81,104,439,52,29,24
1751460575.948016,54,79,77,107,431,51,28,25
1751460575.970954,53,81,65,110,417,54,26,26
1751460576.0078306,61,113,83,111,404,51,25,25
1751460576.0307984,57,118,83,122,479,45,25,26
1751460576.0686653,48,105,81,122,493,44,26,24
1751460576.0906084,56,109,78,117,464,43,25,25
1751460576.1285064,61,102,100,110,398,48,26,24
1751460576.1584263,60,106,107,112,353,52,27,23
1751460576.1883757,43,98,114,113,364,60,28,22
1751460576.210287,36,86,114,100,319,56,27,22
1751460576.2482133,36,85,78,98,332,51,24,21
1751460576.2711241,57,122,101,96,326,48,24,22
1751460576.3160343,66,150,114,97,321,41,24,24
1751460576.344957,65,163,122,92,418,56,28,28
1751460576.3678954,49,151,115,99,423,58,27,27
1751460576.3908362,52,139,103,109,428,65,28,27
1751460576.428733,53,143,101,120,413,65,26,25
1751460576.4508505,57,132,103,111,316,53,25,24
1751460576.4877522,56,133,112,101,320,47,27,24
1751460576.510718,56,121,126,102,358,48,27,25
1751460576.5486207,57,145,134,101,300,63,30,26
1751460576.570558,48,129,128,112,345,70,32,23
1751460576.6085868,61,118,118,134,366,71,33,23
1751460576.6384747,55,106,103,142,420,74,36,23
1751460576.6683948,64,86,92,136,380,59,31,25
1751460576.6906488,63,92,100,128,323,58,31,25
1751460576.7285683,56,90,124,105,347,63,28,24
1751460576.7505028,63,89,126,102,377,59,28,23
1751460576.7883735,71,91,118,99,423,58,25,23
1751460576.8103466,72,96,122,110,450,52,26,24
1751460576.8327894,70,102,96,99,445,45,28,24
1751460576.8696635,71,102,88,113,452,45,29,23
1751460576.892666,73,112,91,113,410,44,28,21
1751460576.9295397,68,93,82,109,345,46,29,21
1751460576.9524786,69,90,80,102,327,48,30,23
1751460576.9904091,52,74,77,95,314,47,28,24
1751460577.012377,52,70,64,102,406,57,26,26
1751460577.0512767,45,64,61,94,435,55,25,23
1751460577.0813937,44,55,57,88,452,55,23,26
1751460577.1112235,39,54,55,92,447,58,26,22
1751460577.1321354,41,53,56,92,439,57,27,22
1751460577.1710312,45,47,53,86,401,53,28,21
1751460577.1920729,46,48,49,88,412,51,29,21
1751460577.231982,44,51,50,93,449,44,28,22
1751460577.2528994,44,50,46,101,505,54,29,25
1751460577.2918277,29,45,62,98,473,58,26,24
1751460577.31274,26,42,60,91,390,57,27,24
1751460577.3347058,26,36,62,84,378,53,26,24
1751460577.3726046,26,44,51,96,357,55,27,23
1751460577.3965678,25,41,45,95,355,57,28,23
1751460577.4324722,45,48,39,103,374,58,26,25
1751460577.455415,47,44,38,99,377,48,27,25
1751460577.4923692,47,41,41,92,387,45,24,24
1751460577.51531,37,42,45,109,417,46,25,21
1751460577.5521815,51,37,49,102,336,45,26,23
1751460577.5751219,50,35,49,101,352,44,26,22
1751460577.5986166,52,42,65,108,323,46,29,23
1751460577.6365256,43,50,64,85,312,44,27,23
1751460577.6801686,47,55,68,98,341,46,29,25
1751460577.7170978,49,56,66,101,337,50,24,25
1751460577.7569633,44,46,68,146,347,58,27,26
1751460577.778931,43,44,66,144,359,58,25,23
1751460577.8148353,47,35,54,162,443,52,26,22
1751460577.8522987,54,40,50,111,334,40,24,21
1751460577.8752108,56,38,43,108,314,39,23,23
1751460577.9141061,65,40,46,102,239,35,25,24
1751460577.9350505,75,43,46,111,273,33,24,23
1751460577.9669657,63,34,46,111,275,36,23,25
1751460577.9968855,50,39,58,111,302,44,25,24
1751460578.018826,48,39,55,113,307,49,23,23
1751460578.0627084,47,48,55,105,317,50,23,22
1751460578.0920465,47,46,46,100,320,47,24,25
1751460578.1150546,54,47,43,82,322,43,26,23
1751460578.1519566,69,36,44,75,322,38,28,23
1751460578.174918,69,35,44,78,335,36,23,22
1751460578.2127938,66,38,58,155,448,45,25,23
1751460578.2347305,53,36,58,155,426,47,25,22
1751460578.2736006,57,46,60,158,469,49,28,20
1751460578.2951612,60,47,48,99,320,40,28,23
1751460578.3327215,61,47,45,105,385,47,28,21
1751460578.355136,60,47,46,108,375,45,26,21
1751460578.3770778,56,38,40,105,329,48,26,22
1751460578.4150057,54,38,43,110,358,42,24,23
1751460578.4529066,48,40,59,126,337,38,21,24
1751460578.4752004,43,44,63,126,337,36,20,25
1751460578.5121288,53,44,59,125,398,40,23,26
1751460578.5350711,52,47,52,105,360,41,23,29
1751460578.5729384,49,41,40,94,391,40,26,27
1751460578.5969014,36,37,38,95,384,38,26,28
1751460578.6328063,61,33,37,75,351,36,25,22
1751460578.6547472,65,36,38,79,352,39,26,22
1751460578.6926494,83,45,46,101,360,49,25,21
1751460578.7145596,85,44,45,107,367,52,26,23
1751460578.737498,67,44,50,111,364,51,27,23
1751460578.7753966,42,33,51,106,319,47,29,24
1751460578.7973657,39,45,65,92,305,44,28,25
1751460578.8352683,29,45,70,102,307,39,26,24
1751460578.8651571,31,46,73,110,336,37,25,23
1751460578.8961055,22,37,63,116,393,33,25,19
1751460578.917018,24,40,76,111,377,40,27,19
1751460578.9499583,28,42,74,124,476,45,30,19
1751460578.9798825,26,39,74,121,466,49,27,20
1751460579.023734,28,40,56,135,510,46,27,20
1751460579.0596664,23,38,49,131,467,44,26,20
1751460579.0985332,44,37,48,111,366,41,23,19
1751460579.1364586,59,54,52,104,349,43,25,21
1751460579.1574042,81,59,52,85,312,35,24,21
1751460579.1803458,91,55,51,75,316,33,25,22
1751460579.2252276,92,71,68,77,311,41,26,24
1751460579.262125,75,58,66,86,317,45,25,24
1751460579.2941852,54,53,59,89,320,47,24,20
1751460579.316127,53,36,51,81,300,42,25,22
1751460579.34505,49,32,50,80,314,47,25,22
1751460579.3749688,29,26,36,72,292,51,25,23
1751460579.397908,44,24,33,78,285,50,26,24
1751460579.4348385,47,29,47,144,290,53,29,24
1751460579.457748,47,29,50,187,301,57,30,23
1751460579.4946759,32,35,58,199,322,55,29,21
1751460579.5175927,27,33,54,168,378,52,29,19
1751460579.5495024,23,31,52,167,405,57,28,21
1751460579.5774271,25,26,48,115,409,56,25,19
1751460579.6302857,24,32,56,105,316,55,26,23
1751460579.6691196,22,32,57,77,274,49,30,20
1751460579.7050514,23,32,63,79,306,49,29,22
1751460579.750901,22,33,58,75,227,47,27,23
1751460579.7897985,21,35,53,98,391,58,29,23
1751460579.8267307,36,38,42,93,391,54,29,24
1751460579.8711224,37,37,38,125,437,54,31,26
1751460579.8997405,43,33,38,123,389,44,25,23
1751460579.9376078,42,26,38,128,421,47,26,26
1751460579.9600747,43,30,36,80,323,39,23,23
1751460579.9979413,39,33,44,92,417,49,32,27
1751460580.01991,41,34,41,91,387,48,31,26
1751460580.057782,48,34,46,103,429,59,33,24
1751460580.0792181,49,36,48,165,450,59,32,21
1751460580.1173015,44,32,46,169,408,58,30,22
1751460580.1399646,37,30,47,174,520,61,30,23
1751460580.1778615,38,32,60,204,476,51,30,25
1751460580.200018,36,32,62,205,481,51,29,23
1751460580.2369199,44,34,57,195,369,51,26,22
1751460580.2598581,43,31,46,110,369,52,26,23
1751460580.2977886,44,31,42,146,435,42,21,26
1751460580.3197243,34,31,45,151,456,41,25,25
1751460580.357597,27,27,41,137,362,40,24,26
1751460580.379538,23,29,44,124,334,42,25,25
1751460580.4174914,37,29,46,91,493,44,27,26
1751460580.4404006,39,30,49,91,482,50,28,27
1751460580.477301,41,30,57,151,617,63,32,28
1751460580.5002396,42,29,53,151,602,64,31,25
1751460580.537647,45,25,49,143,512,56,27,23
1751460580.5685923,44,27,49,129,507,60,28,22
1751460580.5979025,52,31,52,136,557,60,29,26
1751460580.6198394,51,34,50,136,555,60,28,26
1751460580.6427758,48,34,49,135,536,62,30,27
1751460580.6796818,71,30,29,100,408,53,24,22
1751460580.7026713,69,33,27,94,362,55,25,24
1751460580.74009,64,31,42,112,387,57,24,23
1751460580.7620573,51,33,47,113,388,64,25,23
1751460580.7997758,38,35,49,85,275,171,49,25
1751460580.822687,37,35,48,116,328,190,50,27
1751460580.8595877,35,31,38,119,357,204,55,27
1751460580.8825266,38,28,36,116,339,184,47,25
1751460580.919425,36,27,29,97,314,125,38,22
1751460580.9423602,38,28,34,123,422,140,46,23
1751460580.9802303,30,26,38,125,437,217,45,26
1751460581.0023692,26,27,38,127,444,221,45,25
1751460581.040241,36,25,33,72,280,201,32,27
1751460581.062794,35,24,27,92,337,155,32,25
1751460581.1002738,38,23,27,89,343,107,36,25
1751460581.1226819,37,22,28,87,342,108,34,23
1751460581.1596103,28,22,25,97,329,140,33,21
1751460581.182522,26,22,25,104,330,142,36,20
1751460581.2194529,42,24,26,105,370,141,36,21
1751460581.2423885,43,25,28,102,339,196,39,21
1751460581.2802863,43,27,29,71,336,197,34,24
1751460581.3022306,44,26,30,81,318,199,33,24
1751460581.3406608,24,25,32,84,310,109,25,24
1751460581.362602,24,25,33,84,302,133,29,26
1751460581.3995304,22,23,29,59,225,199,42,27
1751460581.422443,24,27,32,64,246,203,44,28
1751460581.4454114,24,27,32,59,259,205,47,27
1751460581.4842768,25,30,35,55,263,114,35,23
1751460581.5201805,23,30,43,47,257,70,27,20
1751460581.5431182,25,31,47,54,348,58,23,20
1751460581.5800202,24,33,59,59,357,50,23,20
1751460581.6019626,27,44,59,62,349,54,24,20
1751460581.6249006,25,54,61,59,315,55,24,20
1751460581.662799,30,75,83,93,344,48,28,21
1751460581.6847398,37,79,88,106,419,58,28,20
1751460581.722639,42,74,89,105,437,59,28,23
1751460581.7445803,42,77,91,100,423,60,28,25
1751460581.7824795,34,77,80,64,258,46,25,24
1751460581.8054178,34,77,89,131,416,56,28,26
1751460581.8423202,43,67,80,140,416,57,27,22
1751460581.865257,49,70,83,144,456,60,28,23
1751460581.9021592,56,86,99,106,397,51,27,23
1751460581.9250972,55,95,110,99,389,52,26,23
1751460581.9619987,51,154,140,98,394,53,28,27
1751460581.9849372,55,149,138,83,349,52,27,28
1751460582.0228367,53,158,121,82,349,43,25,28
1751460582.0447767,45,113,85,88,477,44,24,27
1751460582.0826757,45,171,149,100,415,48,26,29
1751460582.1046228,44,180,153,100,411,55,26,30
